Name,Web pages,Country,Domains,State Province
Universitas Airlangga,['http://www.unair.ac.id/'],Indonesia,['unair.ac.id'],
Universitas Andalas,['http://www.unand.ac.id/'],Indonesia,['unand.ac.id'],
Universitas Nasional Jakarta,['http://www.unas.ac.id/'],Indonesia,['unas.ac.id'],
Universitas Cenderawasih,['http://www.uncen.ac.id/'],Indonesia,['uncen.ac.id'],
Universitas Nusa Cendana,['http://www.undana.ac.id/'],Indonesia,['undana.ac.id'],
Universitas Diponegoro,['http://www.undip.ac.id/'],Indonesia,['undip.ac.id'],
Universitas Jember,['http://www.unej.ac.id/'],Indonesia,['unej.ac.id'],
Universitas Negeri Surabaya,['http://www.unesa.ac.id/'],Indonesia,['unesa.ac.id'],
Universitas Negeri Gorontalo,['http://www.ung.ac.id/'],Indonesia,['ung.ac.id'],
Universitas Haluoleo,['http://www.unhalu.ac.id/'],Indonesia,['unhalu.ac.id'],
Universitas Amir Hamzah,['http://www.unhamzah.ac.id/'],Indonesia,['unhamzah.ac.id'],
Universitas Hasanuddin,['http://www.unhas.ac.id/'],Indonesia,['unhas.ac.id'],
Universitas Bengkulu,['http://www.unib.ac.id/'],Indonesia,['unib.ac.id'],
Universitas Bojonegoro,['http://www.unigoro.ac.id/'],Indonesia,['unigoro.ac.id'],
Universitas Katolik Soegijapranoto,['http://www.unika.ac.id/'],Indonesia,['unika.ac.id'],
Universitas Pekalongan,['http://www.unikal.ac.id/'],Indonesia,['unikal.ac.id'],
Universitas Kediri,['http://www.unik-kediri.ac.id/'],Indonesia,['unik-kediri.ac.id'],
Universitas Komputer Indonesia,['http://www.unikom.ac.id/'],Indonesia,['unikom.ac.id'],
Universitas Lampung,['http://www.unila.ac.id/'],Indonesia,['unila.ac.id'],
Universitas Lancang Kuning,['http://unilak.ac.id/'],Indonesia,['unilak.ac.id'],
Universitas Negeri Manado,['http://www.unima.ac.id/'],Indonesia,['unima.ac.id'],
Universitas Negeri Medan,['http://www.unimed.ac.id/'],Indonesia,['unimed.ac.id'],
Universitas Islam Nusantara,['http://www.uninus.ac.id/'],Indonesia,['uninus.ac.id'],
Universitas Pesantren Darul Ulum Jombang,['http://www.unipdu.ac.id/'],Indonesia,['unipdu.ac.id'],
Universitas Madura,['http://www.unira.ac.id/'],Indonesia,['unira.ac.id'],
Universitas Islam Bandung,['http://www.unisba.ac.id/'],Indonesia,['unisba.ac.id'],
Universitas Islam Malang,['http://www.unisma.ac.id/'],Indonesia,['unisma.ac.id'],
Universitas Muhammadiyah Makassar,['http://www.unismuh.ac.id/'],Indonesia,['unismuh.ac.id'],
Universitas Slamet Riyadi Surakarta,['http://www.unisri.ac.id/'],Indonesia,['unisri.ac.id'],
Universitas Islam Sultan Agung,['http://www.unissula.ac.id/'],Indonesia,['unissula.ac.id'],
Universitas Islam Syekh-Yusuf,['http://www.unistangerang.ac.id/'],Indonesia,['unistangerang.ac.id'],
Unitomo Surabaya,['http://www.unitomo.ac.id/'],Indonesia,['unitomo.ac.id'],
Universitas Trilogi,['http://www.universitas-trilogi.ac.id/'],Indonesia,['universitas-trilogi.ac.id'],
Universitas Trunojoyo Madura,['http://www.trunojoyo.ac.id/'],Indonesia,['trunojoyo.ac.id'],
Universitas Pancasila,['http://www.univpancasila.ac.id/'],Indonesia,['univpancasila.ac.id'],
